Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Mavi ve Kırmızı,Odessa Yayınevi,Turgut Emrah Ardıçoğlu,280.00,218.40,Yok,0.0
Zelal,Fırad Yayınları,Selahattin Fidan,300.00,204.00,Yok,0.0
Cinayet Takvimi,Odessa Yayınevi,Hilal Gök Alan,280.00,218.40,Yok,0.0
Meyrık,Arya Yayıncılık,Bekir Sarıaltun,180.00,117.00,Yok,0.0
A Son At The Front,Oxford University Press - Classics,Edith Wharton,490.00,490.00,Yok,0.0
The First Men In The Moon,Oxford University Press - Classics,H. G. Wells,490.00,490.00,Yok,0.0
The War Of The Worlds,Oxford University Press - Classics,H. G. Wells,490.00,490.00,Yok,0.0
The Island Of Doctor Moreau,Oxford University Press - Classics,H. G. Wells,490.00,490.00,Yok,0.0
Yıldıza Dokunmak - 1,Ephesus Yayınları,Sezin Karameşe,389.00,252.85,Yok,0.0
Journey To The Centre Of The Earth,Oxford University Press - Classics,Jules Verne,490.00,490.00,Yok,0.0
Around The World In Eighty Days,Oxford University Press - Classics,Jules Verne,490.00,490.00,Yok,0.0
Fathers and Sons,Oxford University Press - Classics,Ivan Turgenev,490.00,490.00,Yok,0.0
The Adventures Of Tom Sawyer,Oxford University Press - Classics,Mark Twain,490.00,490.00,Yok,0.0
A Connecticut Yankee In King Arthur`s Court,Oxford University Press - Classics,Mark Twain,490.00,490.00,Yok,0.0
Elegies,Oxford University Press - Classics,Tibullus,490.00,490.00,Yok,0.0
Doctor Thorne TV Tie-In With A Foreword By Julian Fellowes,Oxford University Press - Classics,Anthony Trollope,490.00,490.00,Yok,0.0
Verda’nın Ölümü,Everest Yayınları,İnci Aral,225.00,146.25,Yok,0.0
Uncle Tom`s Cabin,Oxford University Press - Classics,Harriet Beecher Stowe,490.00,490.00,Yok,0.0
Yazarlar ve Leviathan: Siyaset ve Edebiyat Üzerine Seçme Makaleler,Beyoğlu Kitabevi,George Orwell,250.00,182.50,Yok,0.0
Gülfidan,Meşe Kitaplığı,Dursun Utku,350.00,273.00,Yok,0.0
Ebu Ubeyde B. El-Cerrah Ümmetin Emini,Menekşe Kitap,Salih Hakkı Bak,300.00,234.00,Yok,0.0
The Red and The Black,Oxford University Press - Classics,Stendhal,490.00,490.00,Yok,0.0
Kasırgaya Kanan Saka 2,Ephesus Yayınları,Hazel Noya,389.00,252.85,Yok,0.0
Kasırgaya Kanan Saka İkili Kutu,Ephesus Yayınları,Hazel Noya,908.00,590.20,Yok,0.0
